company,lessorid,code,tin,addr1,addr2,addr3,registered,tradename,pospermit,accreditation,telno1,telno2,email,id
,SMP,LAN,#270-548-934-002 VAT,GILIGAN'S SM LANANG,SM LANANG PREMIER,"JP LAUREL, DAVAO CITY","ALQUIROS, NATHANAEL ANDREW GARCIA",NATHANAEL-6 FOODS,1012-132-139040-002,040-205257440-000305,,0932-854-5225,ccare@GILIGANSrestaurant.com,26
GILIGAN'S ISLAND,RLC,LIP,133-162-738-003 VAT,ROBINSONS PLACE LIPA,LIPA CITY,BATANGAS,FILBERT'S-6 FOODS,GILIGAN'S ISLAND RESTAURANT & BAR,1107-044-25319-004,040-205257440-000305,757-6441,9228629302,ccare@GILIGANSrestaurant.com,27
GILIGAN'S ISLAND,IND,LSS,#449-124-012-000 VAT,GILIGAN'S LUCENA SHELL,"MAHARLIKA HIWAY, GULANG-GULANG","LUCENA CITY, QUEZON","ALQUIROS, NIKKO ALEXANDER GARCIA",GILIGAN'S ISLAND RESTAURANT & BAR,0414-060-184990-000,040-205257440-000305,9234205987,9234205987,ccare@GILIGANSrestaurant.com,28
,SMP,LUC,#449-124-012-002 VAT,GILIGAN'S SM LUCENA,"UNIT 270 SM LUCENA, BRGY IBABA DUPAY","LUCENA CITY, QUEZON","ALQUIROS, NIKKO ALEXANDER GARCIA",NIKDER SIX FOODS,0001-002-00003-000,040-205257440-000305,9321196132,9321196132,ccare@GILIGANSrestaurant.com,29
ALQUIROS FOOD CORPORATION,ALI,MAR,#205-257-440-004 VAT,Market! Market!,F.Bonifacio Global City,Taguig City,ALQUIROS FOOD CORPORATION,GILIGAN'S ISLAND RESTAURANT & BAR,1107-044-25319-004,040-205257440-000305,856-3095,9228629316,ccare@GILIGANSrestaurant.com,30
ALQUIROS FOOD CORPORATION,SMP,MOA,#205-257-440-002 VAT,SM by the Bay,"Bldg H, Units 11-16","SM Business Park, Pasay",ALQUIROS FOOD CORPORATION,GILIGAN'S ISLAND RESTAURANT & BAR,1209-051-62955-005,040-205257440-000305,556-97-91,9228629315,ccare@GILIGANSrestaurant.com,31
FJN6 FOOD CORPORATION,IND,MOL,#008-880-161-001 VAT,GILIGAN'S MOLINO,G/F VCENTRAL MALL,"MOLINO, BACOOR CAVITE",FJN6 FOOD CORPORATION,GILIGAN'S ISLAND RESTAURANT & BAR,FP032015-548-0029251-00001,040-205257440-0003055061,9228629308,9228629308,ccare@GILIGANSrestaurant.com,32
"GILIGAN'S ISLAND BAGUIO, INC.",IND,MOR,#006-070-024-010 VAT,GILIGAN'S MORATO,27 T.MORATO AVE. COR. E.LOPEZ DRIVE,"BRGY. SOUTH TRIANGLE, Q.C.","GILIGAN'S ISLAND BAGUIO, INC.",GILIGAN'S ISLAND RESTAURANT & BAR,0001-002-00003-000,040-205257440-000305,0932-1196124,0932-1196124,ccare@GILIGANSrestaurant.com,33
GILIGAN'S ISLAND,IND,SUB,229-956-918-000 NON-VAT,GILIGAN'S SUBIC,B4 L2 MOONBAY MARINA,Waterfront Drive SBFZ,KAWBINADIT CORPORATION,GILIGAN'S ISLAND RESTAURANT & BAR,0611-019-99470-000,040-205257440-000305,(02)252-14-88,6.39229E+11,ccare@GILIGANSrestaurant.com,34
,SMP,NAG,#449-124-012-001 VAT,GILIGAN'S SM NAGA,NINOY & CORY AVENUE,"CBD II, NAGA CITY, CAM.SUR","ALQUIROS, NIKKO ALEXANDER GARCIA",NIKDER SIX FOODS,0001-002-00003-000,040-205257440-000305,9321196119,9321196119,ccare@GILIGANSrestaurant.com,35
"GILIGAN'S ISLAND BAGUIO, INC.",SMP,NOR,#006-070-024-001 VAT,GILIGAN'S SMNE SKY GARDEN,UNIT F&B 07 SKY GARDEN SM NORTH EDSA,"COR. NORTH AVE., BAGONG PAG-ASA Q.C.","GILIGAN'S ISLAND BAGUIO, INC.",GILIGAN'S ISLAND RESTAURANT & BAR,0813-038-165271-001,040-205257440-000305,0933-9281459,0933-9281459,ccare@GILIGANSrestaurant.com,36
GILIGAN'S ISLAND,SMP,PAM,006-070-024-004 VAT,GILIGAN'S SM PAMPANGA,"UNIT 228A SM PAMPANGA, BRGY SAN JOSE","SAN FERNANDO CITY, PAMPANGA",GILIGAN'S ISLAND,GILIGAN'S ISLAND RESTAURANT & BAR,0114-21B-179297-004,040-205257440-000305,,,ccare@GILIGANSrestaurant.com,37
"GILIGAN'S ISLAND BAGUIO, INC.",ALI,PAV,#006-070-024-012 VAT,GILIGAN'S PAVILION,G/F PAVILLON MALL,"BINAN, LAGUNA","GILIGAN'S ISLAND BAGUIO, INC.","GILIGAN'S ISLAND BAGUIO, INC.",FP032015-057-0028217-00012,040-205257440-00030515061,0925-3017955,0925-3017955,ccare@GILIGANSrestaurant.com,38
GILIGAN'S ISLAND,SMP,ROS,#133-162-738-005 VAT,GILIGAN'S SM STA. ROSA,NATIONAL ROAD,"STA. ROSA CITY, LAGUNA",FILBERT'S-6 FOODS,GILIGAN'S ISLAND RESTAURANT & BAR,0213-057-147524-005,040-205257440-000305,508-4392,0923-747-3209,ccare@GILIGANSrestaurant.com,39
FJN6 FOOD CORPORATION,MAN,SAM,#008-880-161-002 VAT,GILIGAN'S STARMALL ALABANG,2/FLR STARMALL ALABANG,MUNTINLUPA CITY,FJN6 FOOD CORPORATION,FJN6 FOOD CORPORATION,0001-002-00003-000,040-205257440-000305,0925-3017939,0925-3017939,ccare@GILIGANSrestaurant.com,40
"GILIGAN'S ISLAND BAGUIO, INC.",MAN,SHW,006-070-024-002 VAT,GILIGAN'S STARMALL EDSA/SHAW,2FLR STARMALL EDSA COR SHAW BLVD.,BRGY.WACK WACK MANDALUYONG CITY,"GILIGAN'S ISLAND BAGUIO, INC.",GILIGAN'S ISLAND RESTAURANT & BAR,0114-041-178876-002,040-205257440-000305,9423904024,9423904024,ccare@GILIGANSrestaurant.com,41
"GILIGAN'S ISLAND BAGUIO, INC.",MAN,SJD,#006-070-024-003 VAT,GILIGAN'S STARMALL SAN JOSE,"BRGY. KAYPIAN, QUIRINO HIGHWAY","SAN JOSE DEL MONTE CITY, BULACAN","GILIGAN'S ISLAND BAGUIO, INC.",GILIGAN'S ISLAND BAGUIO INC. BAR & RESTAURANT,0114-25B-178558-003,040-205257440-000305,0942-3903947,0942-3903947,ccare@GILIGANSrestaurant.com,42
,SLM,SLE,#270-548-934-001 VAT,GILIGAN'S IL CENTRO,GRD.LEVEL IL CENTRO STA. LUCIA EAST,"MARCOS HWAY COR FELIX AVE, CAINTA",20150831,NATHANAEL-6 FOODS,0001-002-00003-000,040-205257440-305515061,10000001,,,43
