code,descriptor,cperson,addr1,addr2,tel,fax,email,tin,branchid,id
333,DIMAX DISTRIBUTION ENTERPRISE,,#6 20TH AVENUE BRGY SAN ROQUE,MURPHY QUEZON CITY,4382223/4378856,0917-849-6864,,104-194-467-001V,F8056E535D0B11E5ADBC00FF59FBB323,50
6325,E.N.I INDUSTRIES SOLUTIONS PRODUCT,,"#12977 STA. ISABEL,MALOLOS",BULACAN,356-84-26,9084164326,,2997-2166V,F8056E535D0B11E5ADBC00FF59FBB323,51
7,ELIZABETH BURGOS,,STALL 55& 56 ALABANG PUBLIC,MRKET ALABANG JUNCTION MUN CTY,868-61-01,,,,F8056E535D0B11E5ADBC00FF59FBB323,52
234,ENVIRONMENTAL VENTURES MARKETING INC,,"#6 M.I.A. ROAD, TAMBO,",PARANAQUE CITY,,,,204-861-221-000V,F8056E535D0B11E5ADBC00FF59FBB323,53
168,ENVIRONMENTAL-HEALTH LABORATORY SERVICE COOP-SATEL,,490 GEN. LUNA ST. BRGY.,"TUKTUKAN, TAGUIG CITY",,,,202-963-260-001N,F8056E535D0B11E5ADBC00FF59FBB323,54
42,ERIC MANAOG,ERIC A. MANAOG-PROP.,PAS E&S 13813 GUADALUPE COMMER,CIAL COMPLEX NUEVO MAKATI CITY,949-8339,,,210-074-565-000N,F8056E535D0B11E5ADBC00FF59FBB323,55
169,ESTELOPE TRADING,,"MAIN OFFICE POBLACION 4,TIAONG",QUEZON,6680711,,,270-842-894-000V,F8056E535D0B11E5ADBC00FF59FBB323,56
909,FAIRLIGHT INTERNATIONAL CORPORATION,,"25 SANTAN ROAD., BRGY FORTUNE",PARANG MARIKINA CITY PHIL,+63(O2)788-2711,,,004-542-786-000,F8056E535D0B11E5ADBC00FF59FBB323,57
1014,FAMILYMART,,MARKET MARKET TAGUIG CITY,,,,,008-422-714-098V,F8056E535D0B11E5ADBC00FF59FBB323,58
129,FAST TRAX CORPORATION,,978 CASTANEDA STREET BRGY,NAMAYAN MANDALUYONG CITY,531-55-43,,,218-825-014-000,F8056E535D0B11E5ADBC00FF59FBB323,59
963,FIESTA FRUITS & VEGETABLES DEALER,ARACELI L. UY - PROP.,BLK7 LOT C MARKET!MARKET!FORT,BONIFACIO TAGUIG CITY,,,,250-040-480-000N,F8056E535D0B11E5ADBC00FF59FBB323,60
304,FIESTA MARKET RDEX FOOD INTENATIONAL PHIL. INC,,TAGUIG CITY,,889-9334,,,005-979-710-005V,F8056E535D0B11E5ADBC00FF59FBB323,61
FES,FIJON-6 FOODS,,Level 3 Unit 3062/B1 3061,Festival Supermall Alabang,850-4443,,,199-013-974-000,F8056E535D0B11E5ADBC00FF59FBB323,62
ATC,FIJON-6 FOODS,,Stall C Theatre Drive Alabang,Town Center Muntinlupa City,850-8830,9228629321,,199-013-974-001,F8056E535D0B11E5ADBC00FF59FBB323,63
CAL,FIJON-6 FOODS,,Unit 372 373 3rd Flr SM City,Brgy. Real Calamba City 4027,0923-7473026,,,199-013-974-002,F8056E535D0B11E5ADBC00FF59FBB323,64
FER,FILBERT'S-6 FOODS,,Unit 102A SM City San Fernando,Downtown Sto.Rosario Pampanga,,0923-7484230,,133-162-738-004,F8056E535D0B11E5ADBC00FF59FBB323,65
ANG,FILBERT'S-6 FOODS,,Levl 2 Space 2098 Marquee Mall,Pulung Maragul Angeles Pampnga,304-0938,0922-8629312,,133-162-738-002,F8056E535D0B11E5ADBC00FF59FBB323,66
TAG,FILBERT'S-6 FOODS,,Levl 1-108 Summit Ridge,Maharlika West Tagaytay Cavite,(046)483-0478,0922-8629313,,133-162-738-000,F8056E535D0B11E5ADBC00FF59FBB323,67
LIP,FILBERT'S-6 FOODS,,Levl 1-01236 Robinson's Place,Lipa J.P.Laurel H.way Batangas,757-6441,0922-8629302,,133-167-738-003,F8056E535D0B11E5ADBC00FF59FBB323,68
ROS,FILBERT'S-6 FOODS,,1058-1059 g/f SM City Sta.Rosa,Tagapo Sta. ROsa City Laguna,508-4392,0923-7473209,,133-162-738-005,F8056E535D0B11E5ADBC00FF59FBB323,69
HFT,FJN6 FOOD CORP,,"G/F SM HYPERMARKET FTI, FTI","COMPLEX DBP AVE, TAGUIG CITY",,,,000-000-000-000,F8056E535D0B11E5ADBC00FF59FBB323,70
GTR,FJN6 FOOD CORPORATION,,"V-CENTRAL MALL,GOV.DRIVE",MANGGAHAN GEN.TRIAS CAVITE,,,,008-880-161-000V,F8056E535D0B11E5ADBC00FF59FBB323,71
HSL,FJN6 FOOD CORPORATION,,"DR.SANTOS AVE. SUCAT,",PARANAQUE CITY,,,,006-070-024-001V,F8056E535D0B11E5ADBC00FF59FBB323,72
8,FLY ACE CORP,,,,,,,002-926-046-000,F8056E535D0B11E5ADBC00FF59FBB323,73
65,FRUTESCA FRUITS STORE,,21 FIESTA MARKET!MARKET! FORT,"BONIFACIO GLOBAL CITY,TAGUIG",,,,157-699-313-004,F8056E535D0B11E5ADBC00FF59FBB323,74
160,FUNCTION/FOOD ORDER/BUFFET,,,,,,,205-257-440-004,F8056E535D0B11E5ADBC00FF59FBB323,75
424,GAISANO INTERPACE CORPORATION,,UNIT B GILMORE COMM'L PLAZA,AVE.COR QUEZON CITY,,,,000-273-941-001,F8056E535D0B11E5ADBC00FF59FBB323,76
123,GALASINAO GENERAL MERCHANDISE,,B192 LT 3 PARAISO ST. PEMBO,MAKATI CITY,,,,262-915-608-000N,F8056E535D0B11E5ADBC00FF59FBB323,77
81,"GEN/TRANSPO,GAS,TOLL ETC.",,MARKET2 FORT BONIFACIO,GLOBAL CITY TAGUIG,856-30-95,,,205-257-440-004,F8056E535D0B11E5ADBC00FF59FBB323,78
SLE,GILIGAN'S IL CENTRO,,GRD.LEVEL IL CENTRO STA.LUCIA,EAST MALL MARCOS HWAY CAINTA,,,,006-070-024-011,F8056E535D0B11E5ADBC00FF59FBB323,79
SLP,GILIGAN'S ISLAND BAGUIO,,C.V. Starr Fil Am Village,Brgy Pamplona Dos Las Pi¤as,,9423904069,,006-070-024-000,F8056E535D0B11E5ADBC00FF59FBB323,80
MOR,GILIGAN'S ISLAND BAGUIO INC,,27 TMORATO AVE. COR.E. LOPEZ,DRIVE BRGY.SOUTH TRIANGLE QC,,0932-119-6124,,0,F8056E535D0B11E5ADBC00FF59FBB323,81
HRB,GILIGAN'S ISLAND BAGUIO INC,,"UNIT 103 SM HYPER MARKET,ROSAR",ROSARIO IBAAN ROAD BATANGAS,,,,006-070-024-013V,F8056E535D0B11E5ADBC00FF59FBB323,82
STG,GILIGAN'S ISLAND BAGUIO INC,,G-FLR STARMALL PRIMA TAGUIG,USUSAN TAGUIG CITY,,,,006-070-024-000,F8056E535D0B11E5ADBC00FF59FBB323,83
PAM,GILIGAN'S ISLAND BAGUIO INC.,,Unit 228-A 2FLR SM City San,Jose San Fernando Pampanga Cit,0923-5870140,,,006-070-024-004,F8056E535D0B11E5ADBC00FF59FBB323,84
SHW,GILIGAN'S ISLAND BAGUIO INC.,,2/f Starmall EDSA Cor. Shaw,Boulevard Mandaluyong City,,0942-3904024,,006-070-024-002,F8056E535D0B11E5ADBC00FF59FBB323,85
ILO,GILIGAN'S ISLAND BAGUIO INC.,,Door 4 Smallville Business,Cntr G.Pison Ave.Mandurriao,0923-3415096,,,006-070-024-007,F8056E535D0B11E5ADBC00FF59FBB323,86
AFV,"GILIGAN'S ISLAND BAGUIO, INC",,2051 FAIRVIEW TERRACES QUIRINO,"HIGHWAY,NOVALICHESQUEZON CITY",,,,006-070-024-008,F8056E535D0B11E5ADBC00FF59FBB323,87
SJD,"GILIGAN'S ISLAND BAGUIO, INC.",,Unit 1 Starmall Brgy. Kaypian,San Jose Del Monte Bulacan,9423903947,,,006-070-024-003,F8056E535D0B11E5ADBC00FF59FBB323,88
PAV,"GILIGAN'S ISLAND BAGUIO,INC.",,G/F PAVILLION MALL BI¥AN,LAGUNA,,0925-301-7955,,006-070-024,F8056E535D0B11E5ADBC00FF59FBB323,89
CEB,GILIGAN'S ISLAND RESTAURANT&BAR CEBUCORP,,Level 3 The Terraces Ayala,Bus Center,417-1448,,,282-512-082-000,F8056E535D0B11E5ADBC00FF59FBB323,90
1,GILIGANS FTI,,TAGUIG CITY,,,,,0,F8056E535D0B11E5ADBC00FF59FBB323,91
90,GINEBRA SAN MIGUEL INC,,"St.Francis Street,Mandaluyong","City M,Mla Phil.",689-9100,,,000-083-856-000,F8056E535D0B11E5ADBC00FF59FBB323,92
981,GLOBAL CIGAR HOUSE,,G/F MARKET MARKET BONOFACIO,GLOBAL CITY TAGUIG CITY,,,,200-829-725-039,F8056E535D0B11E5ADBC00FF59FBB323,93
24,GLOBAL FRESH PRODUCTS,,S27 MARKET!FORT BONIFACIO,TAGUIG CITY,,,,200-413-397-001N,F8056E535D0B11E5ADBC00FF59FBB323,94
107,GOLDEX MANUFACTURING & TRADING CORP,,"163 Ligas 1, Bacoor, Cavite",,(046)8713052,,,004-689-238-000V,F8056E535D0B11E5ADBC00FF59FBB323,95
620,GOURMET MARKET,,TAGUIG ITY,,,,,000-666-945-011V,F8056E535D0B11E5ADBC00FF59FBB323,96
412,GRANULES TRADING,ARBERT B.GATCHALIAN-PROP.,#13 Biak Na Bato St. Sto.Ni¤o,Quezon City,,,,293-972-088-000N,F8056E535D0B11E5ADBC00FF59FBB323,97
130,GRAY ENTERPRISES,,17 FIESTA MARKET! MARKET,BGC TAGUIG CITY,,,,185-974-822-000N,F8056E535D0B11E5ADBC00FF59FBB323,98
94,HEDDY MANZANO,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,99
583,HITCHMEDIA DIGITAL PRINTING SERVICES,,#11 PAULINA BLDG. GEN LUNA ST.,TUKTUKAN TAGUIG CITY,,,,228-8506-777-000,F8056E535D0B11E5ADBC00FF59FBB323,100
16,HITCHMEDIA PHOTOCOPY SHOP,,TAGUIG CITY,,,,,228-856-777-000N,F8056E535D0B11E5ADBC00FF59FBB323,101
119,HOME AVENUE INTERIORS,john dimson,77 Unit A Circumferential Rd.,Antipolo City,630-6781/2469,,,910-723-905-001,F8056E535D0B11E5ADBC00FF59FBB323,102
167,IDEALISK IMPORT EXPORT,RAMON NOEL R.ROMANO PROP.,K 401 3/F THE BLOCK SM NORTH,EDSA BRGY.BAGONG PAG-ASA Q.C,,,,111-199-463-006V,F8056E535D0B11E5ADBC00FF59FBB323,103
897,IDEALISK INC,,G/F MARKET-MARKET FORT BONIF,TAGUIG,,,,007-282-652-007,F8056E535D0B11E5ADBC00FF59FBB323,104
4,ILDEFONSO REYES,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,105
44,INK FOR LESS,,4/F MARKET!MARKET! GLOBAL CITY,TAGUIG CITY,,,,217-942-525-154,F8056E535D0B11E5ADBC00FF59FBB323,106
GLV,IONE-6 FOODS,,"3-035,3/F Glorietta 5 Ayala",Center Makati City,501-3058,9228629318,,232-360-252-001,F8056E535D0B11E5ADBC00FF59FBB323,107
TRI,IONE-6 FOODS,,LM1 PLAZA SECTION TRINOMA MALL,EDSA COR.NORTH AVE PAG-ASA Q.C,916-6233,,,232-360-252-000V,F8056E535D0B11E5ADBC00FF59FBB323,108
112,J.E RAMIREZ FRUITS STATION,,SPACE 23-24 MARKET MARKET FORT,"BONIFACIO.GLOBAL CITY, TAGUIG",,,,194-199-407-000,F8056E535D0B11E5ADBC00FF59FBB323,109
38,JAPAN HOME INC.,,Unit 336-337 Market Market,The Fort Taguig MM,,,,234-634-259-000,F8056E535D0B11E5ADBC00FF59FBB323,110
525,JONY V LOYOLA PROP.,,4FC CRUZ ST BRGY MAGTANGOL,PATEROS,9097466,,,100-125-398-000,F8056E535D0B11E5ADBC00FF59FBB323,111
JPA,JPA MOBILEPHONES ACCESSORIES,,"SM HYPERMART FTI, LOT 85 A & B",DBP AVE. WESTERN BICUTAN,,,,108-881-896-008V,F8056E535D0B11E5ADBC00FF59FBB323,112
332,JRAM CRYSTAL ICE DEALER,,1280-B APOLINARIO ST. BRGY.,BANGKAL MAKATI CITY,966-3205,,,172-736-620-000V,F8056E535D0B11E5ADBC00FF59FBB323,113
117,JSMM TRADING,,85 C.RAYMUNDO AVE. BRGY,"CANIO-GAN,PASIG CITY",6423133,,,238-553-631-000,F8056E535D0B11E5ADBC00FF59FBB323,114
165,K NOVELTY WORLD,EMMANUEL C.UY - PROP.,"147-7 MARKET-MARKET,BONIFACIO","GLOBAL CITY,TAGUIG CITY",,,,121-504-123-003N,F8056E535D0B11E5ADBC00FF59FBB323,115
171,KATALYST DIVERSIFIED INDUSTRIES CORPORATION,,21 GENERAL LUNA ST.BRGY.USUSAN,TAGUIG CITY 1637,4231482,,,008-467-360-000,F8056E535D0B11E5ADBC00FF59FBB323,116
SUB,KAWBINADIT CORPORATION,,"Block2,Lot 4 Moonbay Marina",Waterfront Rd.Subic Zambales,(047)252-1488,0922-8629307,,229-956-918-000,F8056E535D0B11E5ADBC00FF59FBB323,117
72,LANDMARK,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,118
428,LESLIE ENTERPRISE,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,119
709,LITSONHAUS DINERS PHILIPPINES CORP,,METRO MARKET! MARKET!,FORT BONIFACIO TAGUIG CITY,,,,006-596-403-005V,F8056E535D0B11E5ADBC00FF59FBB323,120
262,MAAX ENTERPRISE,,DELA PAZ PASIG CITY,,645/1476,9228798127,,94-501-088-000,F8056E535D0B11E5ADBC00FF59FBB323,121
14,MARIGOLD MANUFACTURING CORP,,"BENIGNO AQUINO AVE., POBLACION",BALIUAG BULACAN,,,,006-843-386-000,F8056E535D0B11E5ADBC00FF59FBB323,122
891,MARKET OFFICE,,MARKET2 FORT BONIFACIO,GLOBAL CITY TAGUIG,,,,205-257-440-004,F8056E535D0B11E5ADBC00FF59FBB323,123
273,MEGA PACIFIC STAINLESS TRADING CO.,,726-728T. MAPUA ST.,STA CRUZ MANILA,7359647/7359627,,,246-100-369-000V,F8056E535D0B11E5ADBC00FF59FBB323,124
60,MERALCO,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,125
46,MERCURY DRUG,,Market Market Lot C Boni,Global City Taguig,,,,000-388-474-409,F8056E535D0B11E5ADBC00FF59FBB323,126
12,METRO MARKET! MARKET!,,MABINI ST.GLOBAL CITY,TAGUIG METRO MANILA,,,,226-527-915-001V,F8056E535D0B11E5ADBC00FF59FBB323,127
45,METRO VINOS INC.,,Unit 45 G/F Fruits& Vegetable,Section The Fort Taguig MM,729-5769,,,234-282-454-000V,F8056E535D0B11E5ADBC00FF59FBB323,128
424,"MICROHUB CONCEPT, INC.",,"436 4F MARKET MARKET, INC.",FORT BONIFACIO GLOBAL CITY,,,,008-442-364-002V,F8056E535D0B11E5ADBC00FF59FBB323,129
17,MICROSTATICS COMPUTER SYSTEM CORP.,,217 M.PATINIO ST. MALIBAY,PASAY CITY,854-2526,,,206-843-582-000,F8056E535D0B11E5ADBC00FF59FBB323,130
68,MINI STOP,,SPACE 1 G/F MARKET MARKET MALL,FORT BONIFACIO TAGUIG CITY,,,,123-539-343-000V,F8056E535D0B11E5ADBC00FF59FBB323,131
19,"MJV INDUSTRIES PHILS., INC.",,"126 SAN ANTONIO ST., BRGY",SAN ANTONIO QUEZON CITY,376-54-73,,,260-880-783-000,F8056E535D0B11E5ADBC00FF59FBB323,132
93,MK KITCHEN EQUIPMENT BOGIL ISLA. INC.,,CMB 03 CARTIMAR SHPG CTR TAFT,AVE.BRGY 39 PASAY CITY,,,,222-810-003-005,F8056E535D0B11E5ADBC00FF59FBB323,133
14,MK KITCHENEQUIPMENT,,PASAY CITY,,,,,222-810-003-005,F8056E535D0B11E5ADBC00FF59FBB323,134
442,MRF COCOPRODUCTS INC.,,#13 Kamuning street bagong,ilog Pasig city,,,,007-902-371-000V,F8056E535D0B11E5ADBC00FF59FBB323,135
102,MTRI ENTERPRISES,,5400-PRESS OSMENIA HIGHWAY,BANGKAL MAKATI CITY,425-4850,,,222-165-259-000,F8056E535D0B11E5ADBC00FF59FBB323,136
118,MV3 GENERAL MERCHANDISE,,CITY2349 LUNA ST. BRGY. 040 PA,,,,,233-237-880-000,F8056E535D0B11E5ADBC00FF59FBB323,137
MAS,NATHANAEL 6 FOODS,,SM Masinag Marcos Highway,Antipolo City Rizal,655-6613,9228629305,,270-548-934-001,F8056E535D0B11E5ADBC00FF59FBB323,138
GAL,NATHANAEL 6-FOODS,,Spce 2350 Levl II Robinsons,Galleria EDSA Cor Ortigas Ave,477-7614,0922-8629309,,270-548-934,F8056E535D0B11E5ADBC00FF59FBB323,139
KCC,NATHANAEL SIX FOOD,,1L 102-104 Veranza Mall J.,Catolico Sr.Ave Lagao GENSAN,302-5301,9334410525,,270-548-934-003,F8056E535D0B11E5ADBC00FF59FBB323,140
LAN,NATHANAEL-6 FOODS,,2153 SM LANANG JP LAUREL AVE.,LANANG BRGY.UBALDE DAVAO CITY,,,,270-548-934-002,F8056E535D0B11E5ADBC00FF59FBB323,141
43,NATIONAL BOOK STORE,,MARKET2 BONIFACIO GLOBAL CITY,TAGUIG CITY,,,,000-299-299-051V,F8056E535D0B11E5ADBC00FF59FBB323,142
116,NETOPIA INTERNET CAFE,,16-17th Flr. Food Choices,Market Market Global City,,,,219-621-613-111V,F8056E535D0B11E5ADBC00FF59FBB323,143
1253,"NEW BORN FOOD PRODUCTS, INC.",,BRGY SAN ISIDRO MAKATI CITY,,742-2476,,,000-134-551-000V,F8056E535D0B11E5ADBC00FF59FBB323,144
10,NEW JET GAS CORP.,,,,,,,228-316-047-000,F8056E535D0B11E5ADBC00FF59FBB323,145
67,NEW SENORITO FROZEN FOOD CORP.,,"Dagat-Dagatan Ave., Corner","Libis, Caloocan City",288-9990,,,217-053-833-000,F8056E535D0B11E5ADBC00FF59FBB323,146
30,NEW SIN KIAN HENG CORP.,,"196 CARLOS PALANCA SR. ST,",QUIPO MANILA PHILS,733-21-29,,,229-564-843-000,F8056E535D0B11E5ADBC00FF59FBB323,147
LSS,NIKDER SIX FOOD,,Diversion Road Brgy.Gulang2,Lucena City,795-1030,,,449-124-012-000,F8056E535D0B11E5ADBC00FF59FBB323,148
LUC,NIKDER SIX FOODS,,"UNIT 270 SM LUCENA,BRGY.IBABAN",DUPAYLUCENACITY,,,,449-124-012-002V,F8056E535D0B11E5ADBC00FF59FBB323,149
62,NO KA 0I,,,,,,,005-583-679-000,F8056E535D0B11E5ADBC00FF59FBB323,150
98,OCTAGON COMPUTER SUPERSTORE,,4TH LEVEL MARKET MARKET,"FORT BONIFACIO, GLOBAL CITY",,,,004-780-008-081V,F8056E535D0B11E5ADBC00FF59FBB323,151
121,ODY AND EMY FRUITS AND VAGETABLES DEALER,,16 FRUIT SESSION MARKET MARKET,GLOBAL CITY TAGUIG CITY,,,,235-641-634-000,F8056E535D0B11E5ADBC00FF59FBB323,152
82,PAG IBIG LOAN,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,153
85,PAG-IBIG,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,154
23,PANADYNAMICS INDUSTRIAL COMPANY,,"NO 30 COMM AVENUE, DILIMAN",QUEZON CITY,(02) 985-59-39,,,007-309-536-000,F8056E535D0B11E5ADBC00FF59FBB323,155
