code,descriptor,cperson,addr1,addr2,tel,fax,email,tin,branchid,id
ENI,E.N.I. INDUSTRIES SOLUTION PRODUCT,,"1277 STA. ISABEL, MALOLOS,",BULACAN,,,,299-721-660-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A75F9455D1611E5ADBC00FF59FBB323
ELI,ELPIDIO JAO,,BAGUIO CITY,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A78E0275D1611E5ADBC00FF59FBB323
ERC,ERIC MANAOG,,"CEMBO, MAKATI CITY",,,,,210-074-565-000N,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A7A05925D1611E5ADBC00FF59FBB323
88,FAIRVIEW PRIME COMMERCIAL CORP,,31/F TOWER ONE & EXCHANGE,"PLAZA,AYALA AVENUE,MAKATI CITY",,,,006-863-960-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A7B26835D1611E5ADBC00FF59FBB323
WAT,FAMILY HEALTH AND BEAUTY CORP,,2F AYALA FAIRVIEW TERRACES,Q.C,,,,230-393-680-255V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A7C30AB5D1611E5ADBC00FF59FBB323
CUB,FARMERS WET MARKET,,CUBAO QUEZON CITY,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A7D6A6F5D1611E5ADBC00FF59FBB323
TRN,GENERAL TRANSPO AND GAS,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A7E82615D1611E5ADBC00FF59FBB323
51,GHERTZ COMPUTER CORP,,347 CYBERZONE SM CITY FAIRVIEW,"GREATER LAGRO 2,QUEZON CITY",,,,229-918-217-008V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A82F43D5D1611E5ADBC00FF59FBB323
SJD,GILIGANS ISLAND BAGUIO INC,,STARMALL SAN JOSE BRGY.KAYPIAN,QUIRINO HI-WAY SAN SJD BULACAN,,,,006-070-024-003V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A85BCBB5D1611E5ADBC00FF59FBB323
NOR,GILIGANS ISLAND BAGUIO INC,,"SKY GARDEN SM NORTH EDSA,Q.C.",,,,9339281459,006-070-024-001V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A8710C45D1611E5ADBC00FF59FBB323
SHW,GILIGANS ISLAND BAGUIO INC,,"2F,STARMALL,EDSA COR SHAW BLVD",WACK-WACK MANDALUYONG CITY,,,,006-070-024-002V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A88D4825D1611E5ADBC00FF59FBB323
STG,GILIGANS ISLAND BAGUIO INC,,G/FLR STARMALL PRIMA TAGUIG,BRGY. USUSAN TAGUIG CITY,,,,006-070-024-011V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A8BBDE15D1611E5ADBC00FF59FBB323
BAG,GILIGANS ISLAND BAGUIO INC,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A8EAF695D1611E5ADBC00FF59FBB323
ARA,GILIGANS ISLAND BAGUIO INC,,"ARANETA CENTER, GRD. FLR.","MANHATTAN PARKWAY,ARANETA QC",,,,006-070-024-006V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A907E9E5D1611E5ADBC00FF59FBB323
MOR,GILIGANS ISLAND BAGUIO INC,,"27 T.MORATO AVE.,COR. E. LOPEZ","DRIVE,BRGY.SOUTH TRIANGLE QC",,,9321196124,006-070-024-010V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A9275955D1611E5ADBC00FF59FBB323
AFV,GILIGANS ISLAND BAGUIO INC,,"UNIT 2051 FAIRVIEW TERRACES,",QUEZON CITY,,,,006-070-024-008V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A93F5385D1611E5ADBC00FF59FBB323
GBE,GLOBAL BRISK ENTERPRISES,,"414 EL GRANDE AVE., BRGY BF","HOMES,PARA?AQUE CITY",,,9332595246,217-652-252-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A954E045D1611E5ADBC00FF59FBB323
GRT,GRANULES TRADING,,"#13 BIAK NA BATO ST., STO NI?O",QUEZON CITY,,,,293-972-088-000N,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A96C41C5D1611E5ADBC00FF59FBB323
HER,HERMINIA G. GOYENA,,"CITY OF SAN JOSE DEL MONTE,",BULACAN,,,,406-313-018-000N,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A9A3CB35D1611E5ADBC00FF59FBB323
TRI,IONE-6 FOODS,,"LEVEL1 M1,PLAZA SECTION,","TRINOMA MALL,BAGONG PAG-ASA,QC",,,,232-360-252-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A9B18D95D1611E5ADBC00FF59FBB323
JAP,JAPAN HOME INCORPORATED,,"108 LVL 1 MAIN MALL,ROBINSONS","PLACE,NOVALICHES,Q.C.",,,,234-634-259-006V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A9EAAB15D1611E5ADBC00FF59FBB323
H2O,JEROCAS RESEARCH LABORATORY SERVICES,,"BRGY.MATANDANG BALARA,Q.C.",,,,,245-100-763-003V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1A9F6ADF5D1611E5ADBC00FF59FBB323
46,JEVIRADIANT ENTERPRISE,,"QUIRINO HIGHWAY,NOVALICHES",QUEZON CITY,,,,120-135-195-001V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AA0226C5D1611E5ADBC00FF59FBB323
KAT,KATALYST DIVERSIFIED INDUSTRIES CORPORATION,,"21 GEN. LUNA ST.,BRGY. USUSAN",TAGUIG CITY,(632)640-9902,,,008-467-360-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AA0E3785D1611E5ADBC00FF59FBB323
KOI,KOINZ HIELO TRANS INC,,"56 RAJAH SOLIMAN ,PARANG,",MARIKINA,9055183539,,,111-720-375-000N,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AC040815D1611E5ADBC00FF59FBB323
LGM,LANTOS GENERAL MERCHANDISE AND SERVICES,,"65 BRGY. SICO, LIPA CITY",,,,,916-908-283-000N,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AC44D825D1611E5ADBC00FF59FBB323
MAX,MAAX ENTERPRISE,,"174 ACACIA ST,OCTAGON SUBD.","DELA PAZ, PASIG CITY",,,,94-501-088-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AC8E6455D1611E5ADBC00FF59FBB323
WET,MALIGAYA WET MARKET,,MALIGAYA NOVALICHES Q.C,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1ACA279B5D1611E5ADBC00FF59FBB323
MAR,MARIO GELERA,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1ACB546F5D1611E5ADBC00FF59FBB323
MSF,MARKET STRATEGIC FIRM INC,,SM CITY FAIRVIEW QUIRINO HIWAY,PASONG PUTIK FAIRVIEW QC,,,,004-563-344-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1ACC857E5D1611E5ADBC00FF59FBB323
MDC,MERCURY DRUG CORP,,"L08 LGF AYALA MALL,QUIRINO","HWAY,QC",(02)956-8929,,,000-388-474-762V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AD0257B5D1611E5ADBC00FF59FBB323
MAC,MILLENIUM ACCESS CORPORATION,,202-A FLORAMA BLDG. EMILIA STS,"PALANAN, MAKATI CITY",,,,202-497-594-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AD14FA95D1611E5ADBC00FF59FBB323
MJV,MJV INDUSTRIES PHILS INC,,"126 SAN ANTONIO ST.,BRGY. SAN",ANTONIO Q. C.,,,,260-880-783-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AD411945D1611E5ADBC00FF59FBB323
55,MR. FREEZE,,"LAGRO, QUEZON CITY",,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AD532C75D1611E5ADBC00FF59FBB323
MRS,MRS-JRC ICE DELIVERY SERVICES,,"SAMPAGUITA MALIGAYA PARK, Q.C",,,,,412-676-804-000N,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AD65AD35D1611E5ADBC00FF59FBB323
NAT,NATIONAL BOOK STORE,,"G/F AYALA FAIRVIEW TERRACES,","QUIRINO H.WAY,NOVALICHES",,,,000-299-299-131V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AD84E9D5D1611E5ADBC00FF59FBB323
NET,NETOPIA INTERNET CAFE,,"SM FRVIEW 1,LB1 UNIT57 SM CITY",FAIRVIEW Q.C.,,,,219-621-613-022V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AD976845D1611E5ADBC00FF59FBB323
45,NETQUEST INTEGRATED SOLUTIONS INC,,UNIT 1-C 401 JP RIZAL BRGY.,NAMAYAN MANDALUYONG CITY,,,,008-518-121-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1ADE27175D1611E5ADBC00FF59FBB323
NEW,NEW SIN KIAN HENG CORP,,196 C. PALANCA ST. BRGY 306,ZONE 30 QUIAPO MANILA,,,,229-564-843-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1ADF64365D1611E5ADBC00FF59FBB323
NPC,NHIZE PRINTING AND COMPUTER SERVICES,,"86 MALOLOS AVE.,BAGONG BARRIO,","BRGY 147,CALOOCAN CITY",,,,269-321-334-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AE08CB95D1611E5ADBC00FF59FBB323
NVC,NORTH VENTURES COMMERCIAL CORP,,31/F TOWER 1& EXCHANGE PLAZA,AYALA TRIANGLE AYALA AVE. MKTY,,,,006-863-960-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AE1A6FE5D1611E5ADBC00FF59FBB323
OFW,OFFICE WAREHOUSE INC,,SM CITY FAIRVIEW ANNEX LOWER,GROUND FLR FAIRVIEW Q.C.,,,,200-492-462-011V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AE2D6F65D1611E5ADBC00FF59FBB323
PCX,PC EXPRESS,,"UNIT 3009 FAIRVIEW TERRACES,","QUIRINO HI-WAY,NOVA QC",,,,257-872-047-009V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AE3F1F45D1611E5ADBC00FF59FBB323
41,PEPSI-COLA PRODUCTS PHILS INC,,"E. RODRIGUEZ AVE, TUNASAN,",MUNTINLUPA CITY,403-7313,,,000-168-541-146,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AE783A05D1611E5ADBC00FF59FBB323
PCO,PHILCOPY CORPORATION,,LOWER G/F SM CITY FAIRVIEW,QUEZON CITY,,,,000-169-318-014V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AE836C45D1611E5ADBC00FF59FBB323
FAM,PHILIPPINE FAMILYMART CVS INC,,#000039 FAMILYMART FAIRVIEW,G/F FAIRVIEW TERRACES QC,,,,008-422-714-037,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AE8E7915D1611E5ADBC00FF59FBB323
53,PHILIPPINE SEVEN CORPORATION,,"4 MALIGAYA DRIVE,BRGY PASONG","PUTIK,NOVALICHES QC",,,,000-390-189-831V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AED0A975D1611E5ADBC00FF59FBB323
54,PHOTOLINE ENTERPRISES CORP,,SPACE L076 G/L FAIRVIEW TERRA-,"CES QUIRINO HIWAY,NOVA QC",,,,000-338-830-126V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AEFA7C95D1611E5ADBC00FF59FBB323
PPC,PUREGOLD PRICE CLUB INC,,"QUIRINO HI-WAY,COR. PASONG",PUTIK NOVA QC,,,,201-277-095-203,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AF1CD355D1611E5ADBC00FF59FBB323
PRW,RASA PRINTWORLD,,"UNIT 078 LGF,M CITY FAIRVIEW,","QUIRINO HI-WAY,LAGRO QC",419-2044,,,152-031-893-002V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AF2A8705D1611E5ADBC00FF59FBB323
56,RICHMART GENERAL MERCHANDISE,,KIKO MARKET CAMARIN CALOOCAN,CITY,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AF36D6E5D1611E5ADBC00FF59FBB323
ROB,ROBINSONS HANDYMAN INC,,"ROBINSON'S PLACE,NOVALICHES","QUIRINO,HIWAY MALIGAYA NOVA QC",,,,003-888-229-016V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AF697165D1611E5ADBC00FF59FBB323
RSC,ROBINSONS SUPERMARKET CORP,,ROBINSONS PLACE QUIRINO H-WAY,NOVALICHES Q.C.,,,,000-405-340-029,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1AFC951B5D1611E5ADBC00FF59FBB323
TRU,ROBINSONS TRUE SERVE HARDWARE PHILS INC,,"GF FAIRVIEW TERRACES,QUIRINO",HI-WAY COR.MALIGAYA NOVA QC,,,,006-643-830-016V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B02225B5D1611E5ADBC00FF59FBB323
SKS,S-S KITCHEN SQUARE CORP,,QC,,9175237657,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B073AB45D1611E5ADBC00FF59FBB323
SMB,SAN MIGUEL BREWERY INC,,"SMC BO.KALIGAYAHAN,QUIRINO","HI-WAY,NOVALICHES QC",930-4905,,,006-807-251-045,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B0885EF5D1611E5ADBC00FF59FBB323
57,SAVEMORE MARKET,,SAVEMORE MARKET CAMARIN MIRAMO,NTE HIEGHTS ANNEX CALOOCAN,,,,207-961-175-075V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B0E40DB5D1611E5ADBC00FF59FBB323
BMT,SBM TRANSPO,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B122C235D1611E5ADBC00FF59FBB323
GRN,SHA-DINE-6 DINERS,,"GB1 LEGASPI ST., SAN LORENZO,",MAKATI CITY,,,,237-856-283-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B1853155D1611E5ADBC00FF59FBB323
60,SIAL SPECIALTY RETAILERS INC,,"WELLWORTH FAIRVIEW TERRACES,QU",IRINO HIWAY NOVA,,,,.008-379-090-001,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B1D26165D1611E5ADBC00FF59FBB323
48,SISTER AND SON STORE,,"B26 L8 CARNATION ST.,CAPITOL","PARK MOMES II,CALOOCAN CITY",961-30-80,,9471528251,220-075-306-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2274765D1611E5ADBC00FF59FBB323
KHT,SKH TRANSPO,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B23BE4B5D1611E5ADBC00FF59FBB323
SMH,SM HYPERMARKET SUPER SHOPPING MARKET INC,,SM CITY FAIRVIEW ANNEX QUIRINO,HIWAY BRGY GREATER LAGRO QC,,,,209-609-185-016V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B24DCE15D1611E5ADBC00FF59FBB323
SMS,SM SUPERMARKET SUPERVALUE INC,,SM CITY FAIRVIEW QUIRINO HIWAY,BRGY. GREATER LAGRO NOVA. QC,,,,000-144-976-004V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B25F55B5D1611E5ADBC00FF59FBB323
42,SONZA TRADING,,"UNIT 1,ANACONDA BLDG.,88 AMANG","RODRIGUEZ AVE,SANTOLAN PASIG",,,0917-423-2921,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2701905D1611E5ADBC00FF59FBB323
50,SST LAPTOP OWNED AND OPERATED BY OPES SALUS INC,,"K304 CYBERZONE,SM FAIRVIEW","QUIRINO HIWAY,QUEZON CITY",,,,007-908-853-007,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B280B655D1611E5ADBC00FF59FBB323
24,STAN MARKETING,,"174 CARLOS PALANCA SR.,QUIAPO",MANILA,,,,100-106-185-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2932C15D1611E5ADBC00FF59FBB323
SMA,STAR APPLIANCE CENTER INC,,SM CITY FAIRVIEW COR REGALADO,AVE LAGRO NOV. Q.C.,,,,000-086-204-009V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B29F06E5D1611E5ADBC00FF59FBB323
TEB,TEBEEMINI CORPORATION,,"UNIT 405 TAIPAN PLACE,DON F.","ORTIGAS CENTER,PASIG CITY",,,,008-282-025-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2AAA4F5D1611E5ADBC00FF59FBB323
TFT,TFT TELECOM,,313 CYBERZONE SM CITY FAIRVIEW,"QUIRINO HWAY,LAGRO NOVA.,QC",,,,251-494-779-005V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2B698B5D1611E5ADBC00FF59FBB323
TRO,TROPICAL ISLE ENTERPRISES,,"#35 PACIFIC GRAND VILLA,STO.","NI?O, PARA?AQUE CITY",,,,199-733-982-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2C1FF85D1611E5ADBC00FF59FBB323
WSB,WINE SPECIALIST AND BEYOND INC,,"166 SEN. GIL PUYAT AVENUE,",PASAY CITY,,,,232-035-041-000V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2CD7405D1611E5ADBC00FF59FBB323
58,XPRINT CORPORATION,,S2081 W. LEVELM2 TRINOMA NORTH,"AVE.,COR. EDSA PAG-ASA,QC",,,,240-074-299-002V,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2D90785D1611E5ADBC00FF59FBB323
BOO,"BOOZE ON-LINE, INC.",,1869 P.DOMINGO ST.BJS COMPOUND,"BRGY.KASILAWAN, MAKATI CITY",895-7179,,,212-260-171-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2E4D755D1611E5ADBC00FF59FBB323
GAL,NATHANAEL-6 FOODS,,UNIT 2359 ROBINSONS GALLERIA,EDSA COR. ORTIGAS Q.C,477-7614,,,270-548-934-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2F03325D1611E5ADBC00FF59FBB323
PAN,PANADYNAMICS INDUSTRIAL CO,,#30 COMMONWEALTH AVE. DILIMAN,QUEZON CITY,400-79-57,,,165-656-882-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B2FBE3F5D1611E5ADBC00FF59FBB323
FOX,FOXBOX TECHNOLOGIES CORPORATION,,251 SMCITY NOVALICHES QUIRINO,"HI-WAY,NOVALICHES, QUEZON CITY",,,,008-539-940-003,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B30D0EE5D1611E5ADBC00FF59FBB323
TRL,TRL MEAT DEALER,,"95 9TH AVENUE,SAN ROQUE MURPHY",QUEZON CITY,912-3040,,,115-300-670-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B31A4D65D1611E5ADBC00FF59FBB323
160,BIR 1601E,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B326AE65D1611E5ADBC00FF59FBB323
WVA,FJN6 FOOD CORPORATION,,WILCON CITY CENTER MALL 121,VISAYAS AVE. PROJ.8 BAHAY TORO,,,,008-880-161-004,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B32DD4E5D1611E5ADBC00FF59FBB323
NM,NOVA MARKET,,,,,,,000-000-000-000,F7BB7B5C5D0B11E5ADBC00FF59FBB323,1B334F295D1611E5ADBC00FF59FBB323
