"employeeid","periodfrom","periodto","acadlvlid","school","course","remarks","id"
"7E1F32D5A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS GRAD,ALTERN THERAP MASSAGE,AISAT","","","7E2640F5A7BC11E594AA00FF59FBB323"
"7E2704D4A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, WEST MINDORO POLYTECHNIC COLL.","","","7E283331A7BC11E594AA00FF59FBB323"
"7E337D43A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL./PAMBAYANG KOLEHIYO NG MAUBAN","","","7E5FFD5CA7BC11E594AA00FF59FBB323"
"7E7D496BA7BC11E594AA00FF59FBB323","0000-00","0000-00","","6MOS, AUTOMOTIVE, UNIVESITY OF MAKATI","","","7E7EA870A7BC11E594AA00FF59FBB323"
"7E83FC27A7BC11E594AA00FF59FBB323","0000-00","0000-00","","6MOS, F&B SERVICES NCII, DEVINE LIGHT","","","7E84BFE8A7BC11E594AA00FF59FBB323"
"7E85C664A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, BSOA, CENTRAL COLLEGES PHIL.","","","7E8721B9A7BC11E594AA00FF59FBB323"
"7E8B9A82A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS, HRM, AISAT","","","7E8C3BADA7BC11E594AA00FF59FBB323"
"7E8CEA4FA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, BASUD NHS","","","7E8DBBC3A7BC11E594AA00FF59FBB323"
"7E91F7B5A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, INOPACAN HS LEYTE","","","7E92A4B5A7BC11E594AA00FF59FBB323"
"7E936DEAA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, CAPITOLINA O. LEGASPI HS","","","7E94058EA7BC11E594AA00FF59FBB323"
"7E94C721A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, A-CRIMINOLOGY, MANUEL ENVERGA","","","7E957391A7BC11E594AA00FF59FBB323"
"7E99A4E1A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COL, HRS,PAMBAYANG KOLEHIYO MAUBAN","","","7E9A5B37A7BC11E594AA00FF59FBB323"
"7E9B797BA7BC11E594AA00FF59FBB323","0000-00","0000-00","","1ST YR COL, COMPUTER ENGINEERING, JRU","","","7EA14479A7BC11E594AA00FF59FBB323"
"7EA29C36A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL. BSN, ST. JUDE COLL MANILA","","","7EA36FE4A7BC11E594AA00FF59FBB323"
"7EA9B492A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YR.COLL GRAD, HRS, MONTESSORI PORF. COL","","","7EAA9B9BA7BC11E594AA00FF59FBB323"
"7EAB8E8EA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGH SCHOOL","","","7EAD2A46A7BC11E594AA00FF59FBB323"
"7EAE3BA5A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL.HRM, SAINT JOHN BOSCO IAS","","","7EAF49A2A7BC11E594AA00FF59FBB323"
"7EBA3EBEA7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS COLL, BSE MATHEMATICS,PHIL.NORMAL U","","","7EC03DCFA7BC11E594AA00FF59FBB323"
"7EC1800FA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS GRAD, COMPUTER PROGRAMING, DATAMEX","","","7EC21280A7BC11E594AA00FF59FBB323"
"7EC2FBD5A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, BSHRM,ISABELA STATE UNIVERSITY","","","7EC97180A7BC11E594AA00FF59FBB323"
"7ECA6115A7BC11E594AA00FF59FBB323","0000-00","0000-00","","6MOS, F&B NC2 BARTENDING, MCTI","","","7ECB29CFA7BC11E594AA00FF59FBB323"
"7ECC3063A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, MNHS","","","7ED0CD5AA7BC11E594AA00FF59FBB323"
"7ED215DCA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL GRAD, COMPUTER PROGRAMMER,CCDI","","","7ED2C6E2A7BC11E594AA00FF59FBB323"
"7ED38A18A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, ABUYOG NHS","","","7ED4244DA7BC11E594AA00FF59FBB323"
"7ED53ADAA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRSCOLL,ASS.HRM,THE FISHER VALLEY COLL.","","","7ED5EF3EA7BC11E594AA00FF59FBB323"
"7ED69622A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, BALARA ACEDEMY","","","7ED770FFA7BC11E594AA00FF59FBB323"
"7ED8C41AA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, CAGIZ VIEJO NHS","","","7ED9527DA7BC11E594AA00FF59FBB323"
"7EDA7584A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS GRAD, HRM, PERPETUAL HELP SYSTEM","","","7EDB24DCA7BC11E594AA00FF59FBB323"
"7EDC2407A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGH SCHOOL GRAD.","","","7EDD49CDA7BC11E594AA00FF59FBB323"
"7EDE4BAEA7BC11E594AA00FF59FBB323","0000-00","0000-00","","3MOS, F&B SERVICE NCII, TESDA","","","7EDF7ED3A7BC11E594AA00FF59FBB323"
"7EE06198A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS/EDUC/LSU","","","7EE1650CA7BC11E594AA00FF59FBB323"
"7EE5FFE9A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GARD, CAGLILIOG HS","","","7EE6AB67A7BC11E594AA00FF59FBB323"
"7EE77CBAA7BC11E594AA00FF59FBB323","0000-00","0000-00","","3RD YR. COLL, COMSCI, ST. BERNADETTE","","","7EE88206A7BC11E594AA00FF59FBB323"
"7EE9F0E3A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, GULANG-GULANG NATIONAL HS","","","7EEA6DB2A7BC11E594AA00FF59FBB323"
"7EEB6AC4A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGH SCHOOL","","","7EEBE9BAA7BC11E594AA00FF59FBB323"
"7EED0F66A7BC11E594AA00FF59FBB323","0000-00","0000-00","","6MOS VOC. AUTOMOTIVE SERVICING,MCTI","","","7EEDB279A7BC11E594AA00FF59FBB323"
"7EEE7DE1A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS GRAD, HRM, POLANGUI COMMUNITY COLL","","","7EEF1591A7BC11E594AA00FF59FBB323"
"7EEFBD4AA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, HRS, LYCEUM OF ALABANG","","","7EF0483BA7BC11E594AA00FF59FBB323"
"7EF1330DA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS UGRAD, CRIMINOLOGY, PLMUN","","","7EF5210BA7BC11E594AA00FF59FBB323"
"7EF63AD9A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS,AIRCRAFT,PATS","","","7EF732F2A7BC11E594AA00FF59FBB323"
"7EF85EF5A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGH SCHOOL","","","7EFF64EBA7BC11E594AA00FF59FBB323"
"7F00B16FA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, PONTEVEDRA NHS","","","7F014C0AA7BC11E594AA00FF59FBB323"
"7F025466A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, IT, SAINT JOHN BOSCO INST.","","","7F0301C4A7BC11E594AA00FF59FBB323"
"7F0FB72DA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGH SCHOOL SAN FERNANDO PAMPANGA","","","7F15DC0DA7BC11E594AA00FF59FBB323"
"7F1D4772A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS, INDUSTRIAL ENGINEERING, UMAC","","","7F1E9E8FA7BC11E594AA00FF59FBB323"
"7F1FC567A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLLEGE/BS.EDUCATION/MSEUF","","","7F208B11A7BC11E594AA00FF59FBB323"
"7F21F936A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, MUNICIPAL NATIONAL H.S./M.A.I.N","","","7F228F37A7BC11E594AA00FF59FBB323"
"7F234747A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, AHRM, SAN GABRIEL INSTITUTE","","","7F23F454A7BC11E594AA00FF59FBB323"
"7F24F0FBA7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YR HS UNDERGRAD, SAN VICENTE H.S","","","7F26109CA7BC11E594AA00FF59FBB323"
"7F2AE6D3A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD. MABINI NATIONAL HIGH SCHOOL","","","7F2B9AB0A7BC11E594AA00FF59FBB323"
"7F2D11CFA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGH SCHOOL GRAD, LUCENA NHS","","","7F2E6473A7BC11E594AA00FF59FBB323"
"7F2FAE13A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, MAKATI HIGH SCHOOL","","","7F30D7F8A7BC11E594AA00FF59FBB323"
"7F366371A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR VOCATIONAL, BSED COM.COOKING, TESDA","","","7F376B18A7BC11E594AA00FF59FBB323"
"7F3919C8A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS GRAD, BSM MARKETING MNGT. MMSU","","","7F39D3DAA7BC11E594AA00FF59FBB323"
"7F3ACAB7A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS COLL, BSHRM, ST.MARY'S COLLEGE","","","7F3B62DAA7BC11E594AA00FF59FBB323"
"7F3C0555A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, PHARMACY, UMAK","","","7F3CAEFFA7BC11E594AA00FF59FBB323"
"7F3D81ECA7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, HRM, INFOTECH","","","7F3E7165A7BC11E594AA00FF59FBB323"
"7F4019C8A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, GABALDON VOCATIONAL AGRI.HS","","","7F40AE8DA7BC11E594AA00FF59FBB323"
"7F42173DA7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, BSBA MAJOR PURCHASING, UMAK","","","7F42DD5EA7BC11E594AA00FF59FBB323"
"7F43F936A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, HRS, SAINT JOHN BOSCO","","","7F448500A7BC11E594AA00FF59FBB323"
"7F464AC4A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, COMTECH, ACLC","","","7F475F58A7BC11E594AA00FF59FBB323"
"8FF3A833A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGH SCHOOL","","","8FF7DCF2A7BC11E594AA00FF59FBB323"
"8FF9AF4DA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL,NURSING,UNIV.OF BAG.","","","8FFA80F1A7BC11E594AA00FF59FBB323"
"8FFC75D6A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS, HRS-TESDA","","","8FFD91D7A7BC11E594AA00FF59FBB323"
"8FFF78EAA7BC11E594AA00FF59FBB323","0000-00","0000-00","","GRADUATE, BSHRM, UNIV.OFBAGUIO","","","9000E594A7BC11E594AA00FF59FBB323"
"90087BAAA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, BSTC, PMI COLL","","","90098C44A7BC11E594AA00FF59FBB323"
"900BB0A9A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, ALVINDIA AGUSO N.H.S.","","","900CCC64A7BC11E594AA00FF59FBB323"
"900E0ED1A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, BSIE, U.G","","","900EB630A7BC11E594AA00FF59FBB323"
"900FE02DA7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, COMPUTER PROGRAMMING, STI","","","90110D3AA7BC11E594AA00FF59FBB323"
"9012318AA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGH SCHOOL GRAD, IRASAN NATIONAL HS","","","9018B3A6A7BC11E594AA00FF59FBB323"
"901F96ACA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, CUAYCONG HIGH SCHOOL","","","90202FC1A7BC11E594AA00FF59FBB323"
"9020D0BAA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS, COMPUTER PROGRAMMING, DATA CENTER","","","90218730A7BC11E594AA00FF59FBB323"
"9026CF89A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, BAGUIO CITY HS","","","9027A4DEA7BC11E594AA00FF59FBB323"
"9028E969A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, LIPIT NHS","","","9029AF1FA7BC11E594AA00FF59FBB323"
"902ADC2CA7BC11E594AA00FF59FBB323","0000-00","0000-00","","3YRS COLL, COMSCI,UNIVERSITY CORDILLERAS","","","902B822EA7BC11E594AA00FF59FBB323"
"902C62D9A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, HRM, POLYTECHNIC COLLEGE","","","902CEE2CA7BC11E594AA00FF59FBB323"
"902DC235A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, CONGRESSIONAL NHS","","","902E5EEAA7BC11E594AA00FF59FBB323"
"903C857EA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, BUSURAN HIGH SCHOOL","","","903EAF3EA7BC11E594AA00FF59FBB323"
"9041016CA7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS COLL, BS CRIMINOLOGY, ALFELOR SR.MC","","","9042AC02A7BC11E594AA00FF59FBB323"
"9043F990A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, GADDANI NHS","","","90453981A7BC11E594AA00FF59FBB323"
"90498BB1A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COL, BULACAN POLYTECHNIC,DTI WELDING","","","904C598FA7BC11E594AA00FF59FBB323"
"9050D868A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, HRS, ICBT","","","9051BA81A7BC11E594AA00FF59FBB323"
"9052AF61A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS. COLL, BSHRM, GORDON COLLEGE","","","90537FDAA7BC11E594AA00FF59FBB323"
"90548339A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS VOC. COMPUTER PROGRAMING, DATAMEX","","","90555A39A7BC11E594AA00FF59FBB323"
"90569AEBA7BC11E594AA00FF59FBB323","0000-00","0000-00","","UNDERGRAD ENGR.","","","9057B6A6A7BC11E594AA00FF59FBB323"
"90595BCCA7BC11E594AA00FF59FBB323","0000-00","0000-00","","6MOS., AUTOMATIVE, SLPC-LUCBAN","","","905A91E4A7BC11E594AA00FF59FBB323"
"905B9118A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, HRS, ACLC BALIUAG","","","905C3AB1A7BC11E594AA00FF59FBB323"
"905D39E9A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, I.T, SAINT MARYS COLLEGE TECH.","","","905DF7D0A7BC11E594AA00FF59FBB323"
"9064EDDBA7BC11E594AA00FF59FBB323","0000-00","0000-00","","3YRS COLL. BSHRM, UNIVERSITY OF BATANGAS","","","906782C7A7BC11E594AA00FF59FBB323"
"906B5DF9A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, HRS, STI","","","906CE201A7BC11E594AA00FF59FBB323"
"906E156CA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GARD, SAN ANTONIO NHS","","","906F8885A7BC11E594AA00FF59FBB323"
"90715519A7BC11E594AA00FF59FBB323","0000-00","0000-00","","1.5MOS, BARTENDING, CRISTO REY INSTITUTE","","","9071FA63A7BC11E594AA00FF59FBB323"
"90733702A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, SAN AGUSTIN ISLA VERDE BATANGAS","","","90755258A7BC11E594AA00FF59FBB323"
"9076B0EAA7BC11E594AA00FF59FBB323","0000-00","0000-00","","GRADE 6, DO","","","90775A5AA7BC11E594AA00FF59FBB323"
"907DAE3CA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, JJL MEMORIAL NHS","","","907EB01DA7BC11E594AA00FF59FBB323"
"908001B6A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, NETWORKING SCIENCE, AMA","","","90811A86A7BC11E594AA00FF59FBB323"
"9082704EA7BC11E594AA00FF59FBB323","0000-00","0000-00","","1SEM COLL, BSHRM, STA.TERESA COLLEGE","","","908339C1A7BC11E594AA00FF59FBB323"
"90847FB2A7BC11E594AA00FF59FBB323","0000-00","0000-00","","6MOS VOC. AUTOMOTIVE, TESDA BATANGAS","","","908507A6A7BC11E594AA00FF59FBB323"
"9085F49EA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, TULOS NHS","","","9086B921A7BC11E594AA00FF59FBB323"
"9087FC0DA7BC11E594AA00FF59FBB323","0000-00","0000-00","","1 YR 1SEM, HRS, AGONCILLO COLLEGE INC.","","","90887835A7BC11E594AA00FF59FBB323"
"90896C3FA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, BS ACCOUNTANCY, UNIV.OF BAT","","","908A0695A7BC11E594AA00FF59FBB323"
"908AC0BFA7BC11E594AA00FF59FBB323","0000-00","0000-00","","1YR COLL, HRS, CSTC","","","908B5608A7BC11E594AA00FF59FBB323"
"908C6266A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS COL GRAD, HRM, JOSE RIZAL UNIVERSTY","","","908D29BBA7BC11E594AA00FF59FBB323"
"908E7854A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, PARANG NATIONAL HIGH SCHOOL","","","908F2466A7BC11E594AA00FF59FBB323"
"90995CBBA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, LOS BA","","","909A004DA7BC11E594AA00FF59FBB323"
"909AB5B8A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS COLL, BSHRM, LSPU","","","909B5173A7BC11E594AA00FF59FBB323"
"909C1FA9A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HD GRAD, HOLY TRINITY COLLEGE","","","909CF64AA7BC11E594AA00FF59FBB323"
"909E4D2AA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, TIYANI NATIONAL HS","","","909F3508A7BC11E594AA00FF59FBB323"
"90A0B4F1A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, PEREZ NATIONAL HS","","","90A1695AA7BC11E594AA00FF59FBB323"
"90A27AA1A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS GRAD, HRM, LAGUNA STATE POLYTECH.","","","90A32392A7BC11E594AA00FF59FBB323"
"90A493C8A7BC11E594AA00FF59FBB323","0000-00","0000-00","","4YRS GRAD, BSIT MAJOR FOOD TECH, CBSU","","","90A54401A7BC11E594AA00FF59FBB323"
"90A6CEF3A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, ARCHITECTURE, MAPUA","","","90A79A63A7BC11E594AA00FF59FBB323"
"90A941A2A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, SAN ROQUE NHS","","","90A9D82AA7BC11E594AA00FF59FBB323"
"90ABA49EA7BC11E594AA00FF59FBB323","0000-00","0000-00","","4TRS GRAD, BSHRM, UPHS PANGASINAN","","","90AC5EB0A7BC11E594AA00FF59FBB323"
"90AD938CA7BC11E594AA00FF59FBB323","0000-00","0000-00","","6MOS VOC, COMSCI, ROXAS TECHNICAL TRAIN.","","","90AE2E8EA7BC11E594AA00FF59FBB323"
"90B5AEE0A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL/COMTECH","","","90B783F9A7BC11E594AA00FF59FBB323"
"90BB874BA7BC11E594AA00FF59FBB323","0000-00","0000-00","","COLLEGE LEVEL-UV-NAUTICAL","","","90BC6FEAA7BC11E594AA00FF59FBB323"
"90BE45E5A7BC11E594AA00FF59FBB323","0000-00","0000-00","","ASSOCIATE DEGREE","","","90BF09BFA7BC11E594AA00FF59FBB323"
"90C07FE4A7BC11E594AA00FF59FBB323","0000-00","0000-00","","COLLEGE LEVEL-MCC-AB SOCIOLOGY","","","90C12587A7BC11E594AA00FF59FBB323"
"90C36026A7BC11E594AA00FF59FBB323","0000-00","0000-00","","COLLEGE UNDERGRAD-CHRISTIAN MINDANAO","","","90C423CBA7BC11E594AA00FF59FBB323"
"90C57DFCA7BC11E594AA00FF59FBB323","0000-00","0000-00","","BS MARINE TRANSPORTATION,UC-METC","","","90C6217AA7BC11E594AA00FF59FBB323"
"90C7A80BA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HIGHSCOOL GRADUATE","","","90C8369FA7BC11E594AA00FF59FBB323"
"90C9BC9CA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD-BONBON NATIONAL HIGH SCHOOL","","","90CA503DA7BC11E594AA00FF59FBB323"
"90CB8DF8A7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD/UV","","","90CC38A9A7BC11E594AA00FF59FBB323"
"90CD786CA7BC11E594AA00FF59FBB323","0000-00","0000-00","","VOCATIONAL GRAD, HEALTH CARE ASST, TESD","","","90CEA793A7BC11E594AA00FF59FBB323"
"90CFBE3DA7BC11E594AA00FF59FBB323","0000-00","0000-00","","H.S. GRAD, BONBON NATIONAL HIGH SCHOOL","","","90D04FEAA7BC11E594AA00FF59FBB323"
"90D12775A7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, BSMAR-E, CTU","","","90D1B23CA7BC11E594AA00FF59FBB323"
"90D27023A7BC11E594AA00FF59FBB323","0000-00","0000-00","","COLLEGE GRAD, BSHM, CEBU TECHNOLOGICAL U","","","90D31D92A7BC11E594AA00FF59FBB323"
"90D40A6EA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, BSHRM, ASIAN COLLEGE OF TECH","","","90D49C43A7BC11E594AA00FF59FBB323"
"90D5473AA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, DON VICENTE RAMA MEMORIAL HS","","","90D5DED6A7BC11E594AA00FF59FBB323"
"90D6C79AA7BC11E594AA00FF59FBB323","0000-00","0000-00","","2YRS COLL, ASHRM, CONSOLACION COMMUNITY","","","90D77595A7BC11E594AA00FF59FBB323"
"90D8D1DCA7BC11E594AA00FF59FBB323","0000-00","0000-00","","HS GRAD, BUSAY NHS","","","90D98127A7BC11E594AA00FF59FBB323"
"90DA0F75A7BC11E594AA00FF59FBB323","0000-00","0000-00","","3YRS COLL, BSAT, CEBU AERONAUTICAL TECH.","","","90DA8A1BA7BC11E594AA00FF59FBB323"
"90DB765EA7BC11E594AA00FF59FBB323","0000-00","0000-00","","3YRS COLL. EDUCATION, EASTERN VISAYAS","","","90DC34D5A7BC11E594AA00FF59FBB323"
