code,descriptor,sectorid,address,phone,mobile,companyid,seating,empcount,id
LAN,SM LANANG PREMIER,VM,"LOC 2153 SKY GARDEN, SM LANANG PREMIER, J.P.LAUREL AVE, LANANG, BRGY. UBALDE, DAVAO CITY",082.321-2209,0932.854-5225,70F73EAD673611E596ECDA40B3C0AA12,130,17,13
FER,SM DOWNTOWN SAN FERNANDO,,"DOWNTOWN, CITY PROPER, SAN FERNANDO, PAMPANGA",,,43B6B571673611E596ECDA40B3C0AA12,120,,14
ROS,SM CITY STA. ROSA,SL,"UNIT 1058-1059 G/F SM CITY STA. ROSA, TAGAPO, STA. ROSA CITY, LAGUNA",049.508-4392,0923.747-3209,43B6B571673611E596ECDA40B3C0AA12,200,22,15
CAL,SM CITY CALAMBA,SL,"UNIT 372-373 3/F SM CITY CALAMBA, BRGY. REAL, CALAMBA CITY, LAGUNA",,,43B6B571673611E596ECDA40B3C0AA12,80,15,16
KCC,KCC VERANZA MALL,VM,"G/F IL 102-104, VERANZA MALL OF KCC, J.CATOLICO AVE, LAGAO, GEN. SANTOS CITY",083.302-5301,0933.441-0525,70F73EAD673611E596ECDA40B3C0AA12,132,18,17
CLK,SM CITY CLARK,CL,"UNIT 130 SM CITY CLARK, M.A.ROXAS ST, MALABANIAS, ANGELES CITY, PAMPANGA",,,43B6B571673611E596ECDA40B3C0AA12,78,14,18
BAT,SM CITY BATANGAS,SL,"2/F SM CITY BATANGAS, PASTOR AVE, BRGY PALLOCAN, BATANGAS CITY, BATANGAS",,,81D62659673611E596ECDA40B3C0AA12,130,23,19
FES,FESTIVAL MALL,MS,"SPACE NO. 3061.2.1 & 3062.2.2, FESTIVAL SUPERMALL, ALABANG, MUNTINLUPA",850-4443,0922.862-9319,43B6B571673611E596ECDA40B3C0AA12,200,28,20
ILO,SMALLVILLE ILOILO,VM,"DOOR 4, SMALLVILLE BUSINESS CENTER, G.PISON AVE, BRGY. SAN RAFAEL, MANDURRIAO, ILOILO CITY",,,43B6B571673611E596ECDA40B3C0AA12,120,10,21
NOR,SM CITY NORTH EDSA,MC,"UNIT F&B 07 SM CITY NORTH EDSA SKY GARDEN, NORTH AVE COR EDSA, QUEZON CITY",351.6963,0933.928-1459,43B6B571673611E596ECDA40B3C0AA12,190,18,22
ANG,MARQUEE MALL ANGELES,CL,"2/F MARQUEE MALL, ANGELES CITY, PAMPANGA",045.304-0938,0922.862-9312,43B6B571673611E596ECDA40B3C0AA12,120,11,23
DAS,SM CITY DASMARINAS,MWC,"UNIT CO63 LGF SM CITY DASMARINAS, BRGY SAMPALOC 1, DASMARINAS CITY, CAVITE",,,7E8F8AC3673611E596ECDA40B3C0AA12,100,13,24
LIP,ROBINSONS LIPA,SL,"LEVEL 1, EXPANSION MALL, ROBINSONS PLACE LIPA, BATANGAS",043.757-6441,0922.862-9302,43B6B571673611E596ECDA40B3C0AA12,160,22,25
ARA,ARANETA CENTER,MEN,"UNI 0018 G/F MANHATTAN PARKWAY, GEN. MALVAR AVE, ARANETA CENTER, CUBAO QC",361-1024,0933.145-6305,43B6B571673611E596ECDA40B3C0AA12,110,24,26
SJD,STARMALL SAN JOSE,MEN,"UNIT 1, STARMALL, BRGY. KAYPIAN, SAN JOSE DEL MONTE, BULACAN",,,43B6B571673611E596ECDA40B3C0AA12,170,19,27
SHW,STARMALL SHAW,MC,"2/F STARMALL EDSA/SHAW, EDSA COR SHAW BLVD, MANDALUYONG CITY",,,43B6B571673611E596ECDA40B3C0AA12,280,26,28
PAM,SM CITY PAMPANGA,CL,"UNIT 228A 2/F SM CITY PAMPANGA, BRGY. SAN JOSE, SAN FERNANDO PAMPANGA",,,43B6B571673611E596ECDA40B3C0AA12,80,16,29
SLP,STARMALL LAS PINAS,MS,"G/F STARMALL, C.V.STARR AVE. COR ALABANG-ZAPOTE RD, PHILAM LIFE VILLAGE, PAMPLONA, LAS PINAS",,,43B6B571673611E596ECDA40B3C0AA12,145,20,30
GLV,GLORIETTA 5,MC,"2/F GLORIETTA 5, AYALA CENTER, AYALA AVE, MAKATI CITY",501-3058,0922.862-9318,6A2F5687673611E596ECDA40B3C0AA12,165,22,31
LSS,LUCENA SHELL,SL,"LUCENA SHELL STATION, DIVERSION RD, BRGY. GULANG-GULANG, LUCENA CITY, QUEZON",,,74B1CBDC673611E596ECDA40B3C0AA12,224,13,32
GRN,GREENBELT 1,MC,"GREENBELT 1, LEGAZPI ST, AYALA CENTER, BRGY. SAN LORENZO, MAKATI",892-1545,0922.862-9317,81D62659673611E596ECDA40B3C0AA12,240,29,33
DIS,THE DISTRICT DASMARINAS,MWC,"SPACE NOS. LG-05 & 06, THE DISTRICT MOLINO-PALIPARAN RD., BRGY. SALAWAG, DASMARINAS CITY, CAVITE",,,7E8F8AC3673611E596ECDA40B3C0AA12,110,18,34
LUC,SM CITY LUCENA,SL,"2/F SM CITY LUCENA, BRGY. IBABANG DUPAY, LUCENA CITY QUEZON",,,74B1CBDC673611E596ECDA40B3C0AA12,120,17,35
MOR,MORATO,MC,"T.MORATO AVE COR E.LOPEZ, SOUTH TRIANGLE, QC",373-0891,0932.119-6124,43B6B571673611E596ECDA40B3C0AA12,400,18,36
GTR,VCENTRAL GEN. TRIAS,MWC,"G/FLR V-CENTRAL MALL, GOVERNOR'S DRIVE, BRGY. NEW MANGGAHAN, GEN. TRIAS CAVITE",,,43B6B571673611E596ECDA40B3C0AA12,140,14,37
AFV,FAIRVIEW TERRACES,MEN,"UNIT 2051 FAIVIEW TERRACE, QUIRINO HIGHWAY, PASONG PUTIK 2, QC",,,43B6B571673611E596ECDA40B3C0AA12,166,21,38
STG,STARMALL TAGUIG,MC,"UNIT G2 STARMALL GEN. LUNA ST., USUSAN, TAGUIG CITY",,,43B6B571673611E596ECDA40B3C0AA12,150,25,39
NAG,SM CITY NAGA,SL,"SM CITY NAGA, CBD II, TRIANGULO, NAGA CITY, CAMARINES SUR",,,74B1CBDC673611E596ECDA40B3C0AA12,105,21,40
SLE,IL CENTRO MALL STA. LUCIA EAST GRAND MALL,MEN,"MARCOS HIGHWAY, STA. LUCIA EAST GRAND MALL, CAINTA",,,70F73EAD673611E596ECDA40B3C0AA12,180,26,41
MOL,VCENTRAL MOLINO,MWC,"G/F V-CENTRAL MALL, MOLINO BLVD, BACOOR CAVITE",,,43B6B571673611E596ECDA40B3C0AA12,123,17,42
PAV,PAVILLON MALL,SL,"G/F BLDG. B, PAVILLON MALL, NAT'L HIGHWAY, SAN ANTONIO, BINAN, LAGUNA",,,43B6B571673611E596ECDA40B3C0AA12,260,22,43
SAM,STARMALL ALABANG,MS,"2/F STARMALL, SLEX ALABANG, MUNTINLUPA",,,43B6B571673611E596ECDA40B3C0AA12,170,26,44
HSL,SM HYPERMART SUCAT,MS,"UNIT 108-109 SM HYPERMARKET, DR. A.SANTOS AVE., SUCAT, PARANAQUE",,,43B6B571673611E596ECDA40B3C0AA12,110,15,45
HRB,SM HYPERMART ROSARIO BATANGAS,SL,"UNIT 103 SM HYPERMARKET, BRGY. NAMUNGA, ROSARIO, BATANGAS",,,43B6B571673611E596ECDA40B3C0AA12,74,11,46
BAL,SM BALIWAG,CL,"EX 105a-106a SM CITY BALIWAG, PAGALA, BALIWAG, BULACAN 3006",,,43B6B571673611E596ECDA40B3C0AA12,80,19,47
CMC,SM MEGACENTER CABANATUAN,CL,"UNIT 208b-209 SM MEGACENTER, GEN. TINIO & MELENCIO STS, BRGY. SAN ROQUE, CABANATUAN CITY, NUEVA ECIJA 3100",,,43B6B571673611E596ECDA40B3C0AA12,80,19,48
TAY,SM TAYTAY,MEN,"UNIT 125-126, SM CITY TAYTAY, MANILA EAST ROAD, TAYTAY RIZAL",,,43B6B571673611E596ECDA40B3C0AA12,100,19,49
VSP,VILLAR SIPAG,MS,"VILLAR SIPAG PROJECT, C5-EXTENSION ROAD, PULANG LUPA 1, LAS PINAS",,,43B6B571673611E596ECDA40B3C0AA12,165,17,50
WVA,WILCON VISAYAS AVE,MEN,"Units 8-9 Wilcon City Center, 121 Visayas Ave, Brgy. Bahay Toro, QC",,,43B6B571673611E596ECDA40B3C0AA12,165,18,51
HFT,SM HYPERMARKET FTI,MC,"G/F SM HYPERMARKET, DBP AVE, FTI COMPLEX, TAGUIG CITY",,,43B6B571673611E596ECDA40B3C0AA12,100,22,52
MIL,MILLE LUCE ANTIPOLO,MEN,"Units 9,10,35&36 Mille Luce Village Center, M.L. Quezon Extn., Antipolo Rizal",,,43B6B571673611E596ECDA40B3C0AA12,120,,53
PPP,PALAWAN,VM,,,,43B6B571673611E596ECDA40B3C0AA12,200,,54
VAL,SM VALENZUELA,CL,"Unit 202 SM Center Valenzuela, MacArthur Highway, Karuhatan, Valenzuela City",,,43B6B571673611E596ECDA40B3C0AA12,90,,55
KZA,KCC ZAMBOANGA,VM,Unit IL 125 KCC Mall de Zamboanga,,,43B6B571673611E596ECDA40B3C0AA12,,,56
TUT,TUTUBAN,MEN,"Unit PB-GS02 Prime Block Center, Tutuban Center, C.M. Recto Ave., Manila",,,43B6B571673611E596ECDA40B3C0AA12,150,,57
SDH,STARMALL DAANGHARI,MWC,"Unit GF16-17 Starmall Daanghari, Molino-Paliparan cor. Daanghari Rd, Molino I, Bacoor City, Cavite",,,43B6B571673611E596ECDA40B3C0AA12,,,58
SRC,SM ROSARIO CAVITE,MWC,"Unit 148-149A SM City Rosario, Gen. Trias Drive cor. Costa Verde Access Rd., Brgy., Tejeros, Rosario, Cavite",,,43B6B571673611E596ECDA40B3C0AA12,,,59
STW,SM TOWER MALL,MWC,"Unit 101A-103A SM Tower Mall, Governor's Drive, Trece Martires, Cavite",,,43B6B571673611E596ECDA40B3C0AA12,,,60
SGD,SM CENTER SANGANDAAN,MC,"Unit 232-233 SM Center Sangandaan, A. Mabini Street, Sangandaan, Caloocan City",,,29E4E2FA672C11E596ECDA40B3C0AA12,,,61
SSR,STARMALL STA. ROSA,SL,Infront Nuvali ,,,43B6B571673611E596ECDA40B3C0AA12,,,62
CAB,SM CABANATUAN,CL,Nueva Ecija,,,43B6B571673611E596ECDA40B3C0AA12,,,63
MRL,SM MARILAO,CL,235/236,,,43B6B571673611E596ECDA40B3C0AA12,,,64
CCS,CORAL CENTER SOUTHWOODS,MS,"Binan, Laguna",,,,,,65
