code,descriptor,address,phone,fax,mobile,email,companyid,tin,managerid,sectorid,seating,area,notes,mancost,id
ARA,ARANETA CENTER,"UNI 0018 G/F MANHATTAN PARKWAY, GEN. MALVAR AVE, ARANETA CENTER, CUBAO QC",361-1024,,0933.145-6305,,43B6B571673611E596ECDA40B3C0AA12,,,MEN,110,0,24,,0BFDAD1C78A711E587FA00FF59FBB323
SJD,STARMALL SAN JOSE,"UNIT 1, STARMALL, BRGY. KAYPIAN, SAN JOSE DEL MONTE, BULACAN",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MEN,170,0,19,,0BFE69CF78A711E587FA00FF59FBB323
SHW,STARMALL SHAW,"2/F STARMALL EDSA/SHAW, EDSA COR SHAW BLVD, MANDALUYONG CITY",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MC,280,0,26,,0C0293DF78A711E587FA00FF59FBB323
PAM,SM CITY PAMPANGA,"UNIT 228A 2/F SM CITY PAMPANGA, BRGY. SAN JOSE, SAN FERNANDO PAMPANGA",,,,,43B6B571673611E596ECDA40B3C0AA12,,,CL,80,0,16,,0C0343BA78A711E587FA00FF59FBB323
BAG,BAGUIO CITY,"7 LEGARDA RD, KISAD, BAGUIO CITY",074.619-2633,,0922.862-9311,,43B6B571673611E596ECDA40B3C0AA12,,,CL,260,0,21,,0C083E6B78A711E587FA00FF59FBB323
SLP,STARMALL LAS PINAS,"G/F STARMALL, C.V.STARR AVE. COR ALABANG-ZAPOTE RD, PHILAM LIFE VILLAGE, PAMPLONA, LAS PINAS",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MS,145,0,20,,0C1364BD78A711E587FA00FF59FBB323
GLV,GLORIETTA 5,"2/F GLORIETTA 5, AYALA CENTER, AYALA AVE, MAKATI CITY",501-3058,,0922.862-9318,,6A2F5687673611E596ECDA40B3C0AA12,,,MC,165,0,22,,0C17FE2D78A711E587FA00FF59FBB323
LSS,LUCENA SHELL,"LUCENA SHELL STATION, DIVERSION RD, BRGY. GULANG-GULANG, LUCENA CITY, QUEZON",,,,,74B1CBDC673611E596ECDA40B3C0AA12,,,SL,224,0,13,,0C1D6B4E78A711E587FA00FF59FBB323
GRN,GREENBELT 1,"GREENBELT 1, LEGAZPI ST, AYALA CENTER, BRGY. SAN LORENZO, MAKATI",892-1545,,0922.862-9317,,81D62659673611E596ECDA40B3C0AA12,,,MC,240,0,29,,0C22713678A711E587FA00FF59FBB323
DIS,THE DISTRICT DASMARINAS,"SPACE NOS. LG-05 & 06, THE DISTRICT MOLINO-PALIPARAN RD., BRGY. SALAWAG, DASMARINAS CITY, CAVITE",,,,,7E8F8AC3673611E596ECDA40B3C0AA12,,,MWC,110,0,18,,0C2576E278A711E587FA00FF59FBB323
LUC,SM CITY LUCENA,"2/F SM CITY LUCENA, BRGY. IBABANG DUPAY, LUCENA CITY QUEZON",,,,,74B1CBDC673611E596ECDA40B3C0AA12,,,SL,120,0,17,,0C281E7C78A711E587FA00FF59FBB323
MOR,MORATO,"T.MORATO AVE COR E.LOPEZ, SOUTH TRIANGLE, QC",373-0891,,0932.119-6124,,43B6B571673611E596ECDA40B3C0AA12,,,MC,400,0,18,,0C2D132F78A711E587FA00FF59FBB323
GTR,VCENTRAL GEN. TRIAS,"G/FLR V-CENTRAL MALL, GOVERNOR'S DRIVE, BRGY. NEW MANGGAHAN, GEN. TRIAS CAVITE",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MWC,140,0,14,,0C2FD43878A711E587FA00FF59FBB323
AFV,FAIRVIEW TERRACES,"UNIT 2051 FAIVIEW TERRACE, QUIRINO HIGHWAY, PASONG PUTIK 2, QC",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MEN,166,0,21,,0C31B11378A711E587FA00FF59FBB323
STG,STARMALL TAGUIG,"UNIT G2 STARMALL GEN. LUNA ST., USUSAN, TAGUIG CITY",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MC,150,0,25,,0C328D3D78A711E587FA00FF59FBB323
CEB,AYALA CENTER CEBU,"3/F THE TERRACES, AYALA CENTER CEBU, AYALA BUSINESS PARK, CEBU CITY",,,,,43B6B571673611E596ECDA40B3C0AA12,,,VM,180,0,22,,0C36AA4778A711E587FA00FF59FBB323
NAG,SM CITY NAGA,"SM CITY NAGA, CBD II, TRIANGULO, NAGA CITY, CAMARINES SUR",,,,,74B1CBDC673611E596ECDA40B3C0AA12,,,SL,105,0,21,,0C38F75378A711E587FA00FF59FBB323
SLE,IL CENTRO MALL STA. LUCIA EAST GRAND MALL,"MARCOS HIGHWAY, STA. LUCIA EAST GRAND MALL, CAINTA",,,,,70F73EAD673611E596ECDA40B3C0AA12,,,MEN,180,0,26,,0C41271078A711E587FA00FF59FBB323
MOL,VCENTRAL MOLINO,"G/F V-CENTRAL MALL, MOLINO BLVD, BACOOR CAVITE",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MWC,123,0,17,,0C485D8C78A711E587FA00FF59FBB323
PAV,PAVILLON MALL,"G/F BLDG. B, PAVILLON MALL, NAT'L HIGHWAY, SAN ANTONIO, BINAN, LAGUNA",,,,,43B6B571673611E596ECDA40B3C0AA12,,,SL,260,0,22,,0C4D9B9978A711E587FA00FF59FBB323
SAM,STARMALL ALABANG,"2/F STARMALL, SLEX ALABANG, MUNTINLUPA",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MS,170,0,26,,0C4FCD6E78A711E587FA00FF59FBB323
HSL,SM HYPERMART SUCAT,"UNIT 108-109 SM HYPERMARKET, DR. A.SANTOS AVE., SUCAT, PARANAQUE",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MS,110,0,15,,0C536C1678A711E587FA00FF59FBB323
HRB,SM HYPERMART ROSARIO BATANGAS,"UNIT 103 SM HYPERMARKET, BRGY. NAMUNGA, ROSARIO, BATANGAS",,,,,43B6B571673611E596ECDA40B3C0AA12,,,SL,74,0,11,,0C58D75778A711E587FA00FF59FBB323
BAL,SM BALIWAG,"EX 105a-106a SM CITY BALIWAG, PAGALA, BALIWAG, BULACAN 3006",,,,,43B6B571673611E596ECDA40B3C0AA12,,,CL,80,0,19,,0C59D1A778A711E587FA00FF59FBB323
CMC,SM MEGACENTER CABANATUAN,"UNIT 208b-209 SM MEGACENTER, GEN. TINIO & MELENCIO STS, BRGY. SAN ROQUE, CABANATUAN CITY, NUEVA ECIJA 3100",,,,,43B6B571673611E596ECDA40B3C0AA12,,,CL,80,0,19,,0C60780978A711E587FA00FF59FBB323
TAY,SM TAYTAY,"UNIT 125-126, SM CITY TAYTAY, MANILA EAST ROAD, TAYTAY RIZAL",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MEN,100,0,19,,0C611F7078A711E587FA00FF59FBB323
TAG,ROBINSONS TAGAYTAY,"LEVEL 1 108, ROBINSONS SUMMIT RIDGE, TAGAYTAY CITY, CAVITE",046.483-0478,,0922.862-9313,,43B6B571673611E596ECDA40B3C0AA12,,,MWC,185,0,16,,0C61BFFA78A711E587FA00FF59FBB323
VSP,VILLAR SIPAG,"VILLAR SIPAG PROJECT, C5-EXTENSION ROAD, PULANG LUPA 1, LAS PINAS",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MS,165,0,17,,0C6562E378A711E587FA00FF59FBB323
WVA,WILCON VISAYAS AVE,"Units 8-9 Wilcon City Center, 121 Visayas Ave, Brgy. Bahay Toro, QC",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MEN,165,0,18,,0C66053178A711E587FA00FF59FBB323
HFT,SM HYPERMARKET FTI,"G/F SM HYPERMARKET, DBP AVE, FTI COMPLEX, TAGUIG CITY",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MC,100,0,22,,0C66A3FF78A711E587FA00FF59FBB323
MIL,MILLE LUCE ANTIPOLO,"Units 9,10,35&36 Mille Luce Village Center, M.L. Quezon Extn., Antipolo Rizal",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MEN,120,0,0,,0C674C2378A711E587FA00FF59FBB323
PPP,PALAWAN,,,,,,43B6B571673611E596ECDA40B3C0AA12,,,VM,200,0,0,,0C67F2F378A711E587FA00FF59FBB323
VAL,SM VALENZUELA,"Unit 202 SM Center Valenzuela, MacArthur Highway, Karuhatan, Valenzuela City",,,,,43B6B571673611E596ECDA40B3C0AA12,,,CL,90,0,0,,0C68BDA278A711E587FA00FF59FBB323
KZA,KCC ZAMBOANGA,Unit IL 125 KCC Mall de Zamboanga,,,,,43B6B571673611E596ECDA40B3C0AA12,,,VM,0,0,0,,0C69743D78A711E587FA00FF59FBB323
TUT,TUTUBAN,"Unit PB-GS02 Prime Block Center, Tutuban Center, C.M. Recto Ave., Manila",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MEN,150,0,0,,0C6A3F6778A711E587FA00FF59FBB323
SDH,STARMALL DAANGHARI,"Unit GF16-17 Starmall Daanghari, Molino-Paliparan cor. Daanghari Rd, Molino I, Bacoor City, Cavite",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MWC,0,0,0,,0C6AD98F78A711E587FA00FF59FBB323
SRC,SM ROSARIO CAVITE,"Unit 148-149A SM City Rosario, Gen. Trias Drive cor. Costa Verde Access Rd., Brgy., Tejeros, Rosario, Cavite",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MWC,0,0,0,,0C98237778A711E587FA00FF59FBB323
MOA,SM MALL OF ASIA,"BLDG. H, SM BY THE BAY, SM MALL OF ASIA COMPLEX, PASAY CITY",556-9791,,0922.862-9315,,29E4E2FA672C11E596ECDA40B3C0AA12,,,MWC,470,0,57,,0CA14DE678A711E587FA00FF59FBB323
STW,SM TOWER MALL,"Unit 101A-103A SM Tower Mall, Governor's Drive, Trece Martires, Cavite",,,,,43B6B571673611E596ECDA40B3C0AA12,,,MWC,0,0,0,,0CA3B0BD78A711E587FA00FF59FBB323
SGD,SM CENTER SANGANDAAN,"Unit 232-233 SM Center Sangandaan, A. Mabini Street, Sangandaan, Caloocan City",,,,,29E4E2FA672C11E596ECDA40B3C0AA12,,,MC,0,0,0,,0CA759CE78A711E587FA00FF59FBB323
SSR,STARMALL STA. ROSA,Infront Nuvali,,,,,43B6B571673611E596ECDA40B3C0AA12,,,SL,0,0,0,,0CA845C778A711E587FA00FF59FBB323
CAB,SM CABANATUAN,Nueva Ecija,,,,,43B6B571673611E596ECDA40B3C0AA12,,,CL,0,0,0,,0CACFC1C78A711E587FA00FF59FBB323
MRL,SM MARILAO,235/236,,,,,43B6B571673611E596ECDA40B3C0AA12,,,CL,0,0,0,,0CB14C5378A711E587FA00FF59FBB323
CCS,CORAL CENTER SOUTHWOODS,"Binan, Laguna",,,,,,,,MS,0,0,0,,0CB208CC78A711E587FA00FF59FBB323
GAL,ROBINSONS GALLERIA,"THE VERANDA, ROBINSONS GALLERIA, EDSA COR ORTIGAS AVE, QC",477-7614,,0922.862-9309,,70F73EAD673611E596ECDA40B3C0AA12,,,MC,184,0,25,,0CB2C03D78A711E587FA00FF59FBB323
SUB,SUBIC,"BLOCK 2 LOT 2, MOONBAY MARINA, WATERFRONT ROAD, SUBIC BAY FREEPORT ZONE",047.252-1488,,0922.862-9307,,74B1CBDC673611E596ECDA40B3C0AA12,,,CL,200,0,11,,0CB78BBD78A711E587FA00FF59FBB323
AVE,A.VENUE MALL,"G/F F111-F112, A.VENUE MALL, MAKATI AVE, MAKATI CITY",728-1107,,0923.725-3193,,29E4E2FA672C11E596ECDA40B3C0AA12,,,MC,138,0,23,,0CBC728478A711E587FA00FF59FBB323
GHO,HEAD OFFICE,,,,,,,,,,,,,,971077BCA54611E5955600FF59FBB323
